WELL,DEPTH_MD,GROUP,FORMATION,CALI,RDEP,RHOB,GR,NPHI,PEF,DTC,LITH
15/9-15,485.256,NORDLAND GP.,,,1.7359623909,,78.2758255,,,161.94750977,Shale
15/9-15,485.408,NORDLAND GP.,,,1.7447782755,,79.214614868,,,161.26771545,Shale
15/9-15,485.56,NORDLAND GP.,,,1.7529898882,,79.724105835,,,160.6443634,Shale
15/9-15,485.712,NORDLAND GP.,,,1.7606751919,,81.042778015,,,160.21260071,Shale
15/9-15,485.864,NORDLAND GP.,,,1.7673604488,,80.785133362,,,160.31594849,Shale
15/9-15,486.016,NORDLAND GP.,,,1.7687034606999998,,79.525039673,,,160.85070801,Shale
15/9-15,486.168,NORDLAND GP.,,,1.7722806931,,78.675018311,,,160.81036377,Shale
15/9-15,486.32,NORDLAND GP.,,,1.7817412615,,76.638679504,,,161.22244263,Shale
15/9-15,486.472,NORDLAND GP.,,,1.7928097248,,76.838600159,,155.21630859,161.42207336,Shale
15/9-15,486.624,NORDLAND GP.,,,1.8105808496,,76.43637085,,248.74597168,161.48442078,Shale
15/9-15,486.776,NORDLAND GP.,,,1.8331058025,,77.017471313,,297.82998657,161.37532043,Shale
15/9-15,486.92800000000005,NORDLAND GP.,,,1.8471794128,,77.831893921,,365.57559204,161.20909119,Shale
15/9-15,487.08,NORDLAND GP.,,,1.8523638248,,76.142105103,,364.77938843,161.04286194,Shale
15/9-15,487.232,NORDLAND GP.,,,1.854839921,,74.119369507,,149.07264709,160.81495667,Shale
15/9-15,487.384,NORDLAND GP.,,,1.8533456326,,73.31003570600001,,60.249149323000005,160.47341919,Shale
15/9-15,487.536,NORDLAND GP.,,,1.850965023,,73.506484985,,47.551914215,160.46685791,Shale
15/9-15,487.6880000000001,NORDLAND GP.,,,1.8573708534,,74.198745728,,56.936698914,161.14074707,Shale
15/9-15,487.84,NORDLAND GP.,,,1.8692662716,,73.000343323,,50.86341095,161.83103943,Shale
15/9-15,487.992,NORDLAND GP.,,,1.8737859726,,75.205200195,,76.074806213,162.72703552,Shale
15/9-15,488.144,NORDLAND GP.,,,1.8683530092,,78.938270569,,59.619678497,163.04527283,Shale
15/9-15,488.296,NORDLAND GP.,,,1.8601845503,,80.027412415,,37.696941376,163.10760498,Shale
15/9-15,488.448,NORDLAND GP.,,,1.8444414139,,77.417358398,,28.948644638,162.67552185,Shale
15/9-15,488.6,NORDLAND GP.,,,1.8277068138,,74.41510772699999,,30.729362488000003,162.67913818,Shale
15/9-15,488.752,NORDLAND GP.,,,1.8254927397,,73.692405701,,37.427772522,162.57151794,Shale
15/9-15,488.904,NORDLAND GP.,,,1.8316864967,,75.57139587399999,,49.915355682,162.67782593,Shale
15/9-15,489.056,NORDLAND GP.,,,1.8344048262,,76.338890076,,51.563415527,163.28147888,Shale
15/9-15,489.208,NORDLAND GP.,,,1.8341342211,,77.84479522699999,,61.997016907,163.14697266,Shale
15/9-15,489.36,NORDLAND GP.,,,1.8287396431,,78.77441406300001,,71.637260437,162.38452148,Shale
