DEPTH,OrigDepth,CORE_NO,SAMPLE,CKHG,CKHL,CKVG,CKVL,CPOR,CPORV,So,Sw,CGD,CGDV
3838.6,3837,1,1,13.8,11.5,,,17,,,,2.66,
3838.85,3837.25,1,2,,,,,14.8,,,,2.67,
3839.15,3837.55,1,3,25.2,21.4,3.94,3.16,10.8,,,,2.69,
3839.4,3837.8,1,4,1.02,0.694,,,12.8,,,,2.7,
3839.48,3837.88,1,5,,,,,,18.8,52.9,36.4,,2.68
3839.6,3838,1,6,524,491,,,16.4,,,,2.69,
3839.85,3838.25,1,7,274,253,,,16.5,,,,2.66,
3840.1,3838.5,1,8,1130,1080,1100,1040,17.2,,,,2.66,
3840.35,3838.75,1,9,442,412,,,16.9,,,,2.66,
3840.52,3838.92,1,10,,,,,,19.5,72.5,11,,2.68
3840.6,3839,1,11,19.3,16.3,,,20.1,,,,2.66,
3840.8,3839.2,1,12,0.298,0.189,,,10.3,,,,2.93,
3841,3839.4,1,13,6.54,5.36,1200,1140,12.7,,,,3.03,
3841.35,3839.75,1,14,593,557,,,19,,,,2.66,
3841.52,3839.92,1,15,,,,,,8.6,23.9,52.4,,2.74
3841.6,3840,1,16,0.151,0.092,,,9.9,,,,2.91,
3841.8,3840.2,1,17,260,238,,,20.6,,,,2.63,
3842.05,3840.45,1,18,168,152,17.6,14.8,21,,,,2.66,
3842.35,3840.75,1,19,317,293,,,22.7,,,,2.64,
3842.54,3840.94,1,20,,,,,,24.4,61.6,21.7,,2.64
3842.6,3841,1,21,44.8,38.9,,,21.9,,,,2.69,
3842.8,3841.2,1,22,207,189,,,20,,,,2.63,
3843.05,3841.45,1,23,65,57,19.4,16.4,22.1,,,,2.62,
3843.35,3841.75,1,24,50.4,43.7,,,17.7,,,,2.63,
3843.53,3841.93,1,25,,,,,,13.9,31.7,43.4,,2.63
3843.6,3842,1,26,0.994,0.675,,,11.6,,,,2.67,
3843.85,3842.25,1,27,14.5,12.1,,,19.6,,,,2.63,
3844.1,3842.5,1,28,171,156,18.3,15.5,24.4,,,,2.67,
3844.35,3842.75,1,29,136,122,,,25.8,,,,2.62,
3844.51,3842.91,1,30,,,,,,26.1,62.2,23.9,,2.63
3844.6,3843,1,31,131,118,,,26.4,,,,2.64,
3844.8,3843.2,1,32,125,112,,,24.9,,,,2.62,
3845.05,3843.45,1,33,121,108,111,98.9,25.1,,,,2.63,
3845.35,3843.75,1,34,86.5,76.6,,,25,,,,2.62,
3845.54,3843.94,1,35,,,,,,24.2,59.8,23.3,,2.63
3845.6,3844,1,36,74.6,65.8,,,24.3,,,,2.63,
3845.85,3844.25,1,37,70.1,61.6,,,23.5,,,,2.62,
3846.1,3844.5,1,38,102,90.5,92.8,82.4,36,,,,2.63,
3846.35,3844.75,1,39,94.1,83.6,,,24,,,,2.63,
3846.53,3844.93,1,40,,,,,,25,78.4,9.7,,2.63
