Well:,L05-B-01,,,,
DEPTH,GR,DT,RHOB,DRHO,NPHI
81,-999.25,-999.25,-999.25,-999.25,-999.25
81.1,-999.25,-999.25,-999.25,-999.25,-999.25
81.2,-999.25,-999.25,-999.25,-999.25,-999.25
81.3,-999.25,-999.25,-999.25,-999.25,-999.25
81.4,-999.25,-999.25,-999.25,-999.25,-999.25
81.5,-999.25,-999.25,-999.25,-999.25,-999.25
81.6,-999.25,-999.25,-999.25,-999.25,-999.25
81.7,-999.25,-999.25,-999.25,-999.25,-999.25
81.8,-999.25,-999.25,-999.25,-999.25,-999.25
81.9,-999.25,-999.25,-999.25,-999.25,-999.25
82,-999.25,-999.25,-999.25,-999.25,-999.25
82.1,-999.25,-999.25,-999.25,-999.25,-999.25
82.2,-999.25,-999.25,-999.25,-999.25,-999.25
82.3,-999.25,-999.25,-999.25,-999.25,-999.25
82.4,23.742645,-999.25,-999.25,-999.25,-999.25
82.5,24.319355,-999.25,-999.25,-999.25,-999.25
82.6,24.859596,-999.25,-999.25,-999.25,-999.25
82.7,25.126419,-999.25,-999.25,-999.25,-999.25
82.8,24.898117,-999.25,-999.25,-999.25,-999.25
82.9,24.264908,-999.25,-999.25,-999.25,-999.25
83,23.235703,-999.25,-999.25,-999.25,-999.25
83.1,22.573803,-999.25,-999.25,-999.25,-999.25
83.2,22.480289,-999.25,-999.25,-999.25,-999.25
83.3,23.271584,-999.25,-999.25,-999.25,-999.25
83.4,24.146172,-999.25,-999.25,-999.25,-999.25
83.5,24.718826,-999.25,-999.25,-999.25,-999.25
83.6,24.532166,-999.25,-999.25,-999.25,-999.25
83.7,23.932388,-999.25,-999.25,-999.25,-999.25
83.8,23.194927,-999.25,-999.25,-999.25,-999.25
83.9,22.541534,-999.25,-999.25,-999.25,-999.25
84,22.028881,-999.25,-999.25,-999.25,-999.25
84.1,21.647514,-999.25,-999.25,-999.25,-999.25
84.2,21.751865,-999.25,-999.25,-999.25,-999.25
84.3,22.239784,-999.25,-999.25,-999.25,-999.25
84.4,22.996658,-999.25,-999.25,-999.25,-999.25
84.5,24.034283,-999.25,-999.25,-999.25,-999.25
84.6,24.961658,-999.25,-999.25,-999.25,-999.25
84.7,25.504799,-999.25,-999.25,-999.25,-999.25
84.8,25.479523,-999.25,-999.25,-999.25,-999.25
84.9,25.05233,-999.25,-999.25,-999.25,-999.25
85,24.331657,-999.25,-999.25,-999.25,-999.25
85.1,23.55019,-999.25,-999.25,-999.25,-999.25
85.2,23.075146,-999.25,-999.25,-999.25,-999.25
85.3,23.258553,-999.25,-999.25,-999.25,-999.25
85.4,23.768738,-999.25,-999.25,-999.25,-999.25
85.5,24.338608,-999.25,-999.25,-999.25,-999.25
85.6,25.028271,-999.25,-999.25,-999.25,-999.25
85.7,25.567085,-999.25,-999.25,-999.25,-999.25
85.8,25.795811,-999.25,-999.25,-999.25,-999.25
85.9,25.666061,-999.25,-999.25,-999.25,-999.25
86,25.23674,-999.25,-999.25,-999.25,-999.25
86.1,24.656124,-999.25,-999.25,-999.25,-999.25
86.2,24.070332,-999.25,-999.25,-999.25,-999.25
86.3,23.997501,-999.25,-999.25,-999.25,-999.25
86.4,24.647747,-999.25,-999.25,-999.25,-999.25
86.5,25.601013,-999.25,-999.25,-999.25,-999.25
86.6,26.406017,-999.25,-999.25,-999.25,-999.25
86.7,26.850842,-999.25,-999.25,-999.25,-999.25
86.8,27.017216,-999.25,-999.25,-999.25,-999.25
86.9,26.944061,-999.25,-999.25,-999.25,-999.25
87,26.698784,-999.25,-999.25,-999.25,-999.25
87.1,26.430374,-999.25,-999.25,-999.25,-999.25
87.2,26.074135,-999.25,-999.25,-999.25,-999.25
87.3,25.424129,-999.25,-999.25,-999.25,-999.25
87.4,24.524803,-999.25,-999.25,-999.25,-999.25
87.5,23.652,-999.25,-999.25,-999.25,-999.25
87.6,23.11681,-999.25,-999.25,-999.25,-999.25
87.7,22.840912,-999.25,-999.25,-999.25,-999.25
87.8,22.764599,-999.25,-999.25,-999.25,-999.25
87.9,23.036655,-999.25,-999.25,-999.25,-999.25
88,23.938793,-999.25,-999.25,-999.25,-999.25
88.1,25.391644,-999.25,-999.25,-999.25,-999.25
88.2,26.850254,-999.25,-999.25,-999.25,-999.25
88.3,27.822144,-999.25,-999.25,-999.25,-999.25
88.4,27.92828,-999.25,-999.25,-999.25,-999.25
88.5,27.294048,-999.25,-999.25,-999.25,-999.25
88.6,26.24258,-999.25,-999.25,-999.25,-999.25
88.7,25.348255,-999.25,-999.25,-999.25,-999.25
88.8,24.763824,-999.25,-999.25,-999.25,-999.25
88.9,24.296097,-999.25,-999.25,-999.25,-999.25
89,23.691048,-999.25,-999.25,-999.25,-999.25
89.1,23.0592,-999.25,-999.25,-999.25,-999.25
89.2,22.565369,-999.25,-999.25,-999.25,-999.25
89.3,22.341171,-999.25,-999.25,-999.25,-999.25
89.4,22.463291,-999.25,-999.25,-999.25,-999.25
89.5,22.776516,-999.25,-999.25,-999.25,-999.25
89.6,23.05859,-999.25,-999.25,-999.25,-999.25
89.7,23.353664,-999.25,-999.25,-999.25,-999.25
89.8,23.603844,-999.25,-999.25,-999.25,-999.25
89.9,23.713028,-999.25,-999.25,-999.25,-999.25
90,23.576294,-999.25,-999.25,-999.25,-999.25
90.1,23.369148,-999.25,-999.25,-999.25,-999.25
90.2,23.295059,-999.25,-999.25,-999.25,-999.25
90.3,23.299698,-999.25,-999.25,-999.25,-999.25
90.4,23.466927,-999.25,-999.25,-999.25,-999.25
90.5,23.845776,-999.25,-999.25,-999.25,-999.25
90.6,24.103928,-999.25,-999.25,-999.25,-999.25
90.7,24.174408,-999.25,-999.25,-999.25,-999.25
90.8,24.163582,-999.25,-999.25,-999.25,-999.25
90.9,24.065361,-999.25,-999.25,-999.25,-999.25
91,23.843327,-999.25,-999.25,-999.25,-999.25
91.1,23.464207,-999.25,-999.25,-999.25,-999.25
91.2,23.20451,-999.25,-999.25,-999.25,-999.25
91.3,23.089283,-999.25,-999.25,-999.25,-999.25
91.4,23.031101,-999.25,-999.25,-999.25,-999.25
91.5,23.146996,-999.25,-999.25,-999.25,-999.25
91.6,23.319912,-999.25,-999.25,-999.25,-999.25
91.7,23.385128,-999.25,-999.25,-999.25,-999.25
91.8,23.370583,-999.25,-999.25,-999.25,-999.25
91.9,23.364777,-999.25,-999.25,-999.25,-999.25
92,23.458294,-999.25,-999.25,-999.25,-999.25
92.1,23.565739,-999.25,-999.25,-999.25,-999.25
92.2,23.667091,-999.25,-999.25,-999.25,-999.25
92.3,23.821365,-999.25,-999.25,-999.25,-999.25
92.4,23.790642,-999.25,-999.25,-999.25,-999.25
92.5,23.623135,-999.25,-999.25,-999.25,-999.25
92.6,23.610027,-999.25,-999.25,-999.25,-999.25
92.7,23.798519,-999.25,-999.25,-999.25,-999.25
92.8,24.123951,-999.25,-999.25,-999.25,-999.25
92.9,24.529152,-999.25,-999.25,-999.25,-999.25
93,24.753963,-999.25,-999.25,-999.25,-999.25
93.1,24.740505,-999.25,-999.25,-999.25,-999.25
