DEPTH,CALI,COAL,DT,DT_LOG,DTS,DTS_LOG,GR,NPHI,PHIE,PHIEC,PHIT,PHITC,RHOB,RHOB_LOG,RT,RW,TEMP
3500.0183,9.315,0,76.7292,76.7292,157.1754,157.1754,36.621,0.1542,0.1122,0.1098,0.1209,0.1186,2.4602,2.46,1.791,0.0211,94.5855
3500.1707,9.324,0,77.2473,77.2473,158.9566,158.9566,36.374,0.1694,0.1074,0.106,0.1159,0.1146,2.468,2.468,1.756,0.0211,94.5897
3500.3231,9.338,0,77.8462,77.8462,159.7642,159.7642,30.748,0.1776,0.1082,0.1079,0.1127,0.1125,2.473,2.473,1.72,0.0211,94.594
3500.4755,9.329,0,78.3571,78.3571,158.7547,158.7547,29.795,0.1767,0.1254,0.1226,0.1292,0.1264,2.4471,2.447,1.696,0.0211,94.5982
3500.6279,9.328,0,78.656,78.656,157.132,157.132,27.346,0.1662,0.1278,0.1249,0.1299,0.127,2.446,2.446,1.697,0.0211,94.6025
3500.7803,9.331,0,78.749,78.749,155.8588,155.8588,24.997,0.1716,0.1276,0.1247,0.128,0.1251,2.449,2.449,1.738,0.0211,94.6067
3500.9327,9.333,0,78.7119,78.7119,154.366,154.366,20.609,0.1612,0.109,0.1088,0.109,0.1088,2.4789,2.479,1.813,0.0211,94.6109
3501.0851,9.313,0,78.5689,78.5689,153.1059,153.1059,18.349,0.1586,0.1171,0.1152,0.1171,0.1152,2.4661,2.466,1.887,0.0211,94.6152
3501.2375,9.327,0,78.3028,78.3028,151.6804,151.6804,16.766,0.166,0.1286,0.1246,0.1286,0.1246,2.4481,2.448,1.924,0.0211,94.6194
3501.3899,9.334,0,77.9408,77.9408,150.9345,150.9345,17.086,0.174,0.1096,0.1087,0.1096,0.1087,2.4779,2.478,1.933,0.0211,94.6236
3501.5423,9.328,0,77.5879,77.5879,150.3287,150.3287,17.522,0.1576,0.0949,0.0949,0.0949,0.0949,2.5009,2.501,1.95,0.0211,94.6279
3501.6947,9.328,0,77.348,77.348,149.8986,149.8986,19.357,0.1679,0.0879,0.0879,0.0879,0.0879,2.512,2.512,1.987,0.0211,94.6321
3501.8471,9.333,0,77.244,77.244,149.3676,149.3676,19.761,0.1553,0.0917,0.0917,0.0917,0.0917,2.506,2.506,2.023,0.0211,94.6363
3501.9995,9.318,0,77.208,77.208,148.8907,148.8907,19.038,0.1619,0.0942,0.0942,0.0942,0.0942,2.502,2.502,2.032,0.0211,94.6406
3502.1519,9.318,0,77.1519,77.1519,148.4796,148.4796,17.445,0.1536,0.0993,0.0993,0.0993,0.0993,2.494,2.494,2.017,0.0211,94.6448
3502.3043,9.318,0,77.0249,77.0249,147.9034,147.9034,17.678,0.1564,0.1108,0.1095,0.1108,0.1095,2.4761,2.476,1.987,0.0211,94.649
