Well,Stratigraphical Unit,Top,Bottom
L07-05,North Sea Supergroup,0,1088.5
L07-05,Ommelanden Formation,1088.5,1487
L07-05,Texel Formation,1487,1571
L07-05,Holland Formation,1571,1663
L07-05,Vlieland Claystone Formation,1663,1683
L07-05,Friesland Member,1683,1719
L07-05,Zechstein Group,1719,3510.5
L07-05,Z1 (Werra) Formation,3510.5,3542
L07-05,Ten Boer Member,3542,3599.5
L07-05,Upper Slochteren Member,3599.5,3694.5
L07-05,Ameland Member,3694.5,3757.5
L07-05,Lower Slochteren Member,3757.5,3862
L07-05,Limburg Groep,3862,3886
