DEPTH,DEVI,AZIM
0,0,0
111.99,3.79,64.3
140.07,7.14,65.81
168.13,8.21,67.03
196.09,9.68,67.66
224.13,11.87,72.08
253.75,12.49,77.3
283.32,12.39,78.6
312.93,12.81,78.42
342.59,13.85,79.83
371.76,15.93,82.98
401.32,17.96,86.89
430.39,19.95,92.05
460.47,22.01,97.21
490.05,23.82,100.29
519.68,24.98,102.55
549.99,25.89,104.98
578.53,26.64,105.55
608.19,27.85,105.58
637.86,28.2,109.42
667.43,29.11,115.29
696.99,30.76,119.39
726.61,31.71,121.3
756.25,31.49,122.06
785.86,30.53,122.38
815.55,32.67,121.27
845.18,34.93,121.27
874.85,35.88,121.1
904.44,33.13,118.83
934.05,29.89,116.93
963.56,25.98,114.31
993.18,21.61,110.69
1022.79,17.38,106.75
1052.02,15.01,98.13
1081.57,13.97,83.56
1111.15,12.63,68.74
1140.83,13.13,48.88
1170.42,14.17,28.45
1200.14,14.29,3.72
1229.43,14.97,338.78
1259,16.6,328.31
1269,17.53,324.94
1298,17.68,325.03
1328,21.17,322.15
1357,27.27,317.83
1387,31.65,316.35
1417,35.44,317.36
1446,38.56,318.77
1476,41.54,319.24
1505,44.41,319.64
1535,47.75,319.15
1564,51.3,318.93
1594,54.87,318.73
1624,58.51,318.91
1653,62.03,318.29
1682,62.89,318.29
1711,63.01,318.27
1740,62.91,318.54
1771,62.84,318.26
1800,63.09,317.91
1830,63.06,317.85
1861,66.29,317.54
1890,71.05,317.26
1919,75.28,317.72
1949,78.69,317.48
1979,82.05,318.25
2019,86.27,317.74
2049,88.15,317.46
2079,88.46,317.7
2108,89.01,317.67
2137,89.59,317.92
2167,89.5,317.87
2196,89.53,317.97
2225,89.68,317.97
2255,89.69,318.96
2285,89.72,319.7
2315,89.66,319.51
2344,89.72,319.72
2374,89.66,319.2
2402,89.71,319.51
2431,89.68,319.3
2461,89.65,318.76
2491,89.65,319.27
2520,89.71,320.11
2550,89.72,320.09
2580,89.66,319.67
2610,89.69,319.7
2640,89.69,319.61
2670,89.66,319.28
2681,89.66,319.61
2691,89.66,319.61
