RHOB,GR,DEPTH_MD,NPHI,PEF,DTC
1.884185791,80.20085144,494.528,,20.915468216,161.13117981
1.8897935152,79.262886047,494.68,,19.383012772,160.60346985
1.8965227604,74.821998596,494.832,,22.591518402,160.1736145
1.891912818,72.878921509,494.984,,32.19190979,160.14942932
1.8800340891,71.729141235,495.136,,38.495632172,160.12834167
1.8796874285,72.01441955600001,495.288,,43.657482146999996,160.14929199
1.8787307739,72.588088989,495.44,,42.236221313,161.25038147
1.8678369522,71.283050537,495.592,,39.933563232,162.2144165
1.8472329378,69.721435547,495.744,,39.163223267,161.57510376
1.836309433,66.677726746,495.896,,37.802932739,160.58335876
1.8451297283,65.892799377,496.048,,36.285533905,159.62438965
1.8601442575,66.928260803,496.2,,37.292488098,158.85522461
1.8645105362,70.428024292,496.352,,37.34254837,159.0859375
1.8604578972,72.568740845,496.504,,38.716503143000004,159.11553955
1.858977437,71.932228088,496.656,,33.712387085,159.13540649
1.8633086681,71.095474243,496.80800000000005,,30.341299056999997,159.44454956
1.879073143,74.254371643,496.96,,29.63158989,159.09140015
1.8897819519,77.266525269,497.112,,34.332809448,159.35050964
1.8950212002,77.243659973,497.264,,44.43385696399999,159.91371155
1.8818663359,74.072761536,497.416,,58.937194823999995,160.68223572
1.8718523979,72.198684692,497.568,,54.921722412,161.35916138
1.8767393827,73.68801116899999,497.72,,47.026332855,161.16438293
1.8875800371,72.747123718,497.872,,36.532077789,160.58572388
1.9042459726,70.038673401,498.024,,30.112548828,160.08589172
1.9239485264,69.458602905,498.176,,36.195671082,159.83093262
1.9202179909,70.175437927,498.328,,56.303665161000005,160.04148865
1.890530467,69.169387817,498.48,,66.030319214,160.02119446
1.8665241003,66.941886902,498.632,,49.00489807100001,159.78358459
1.863617301,68.770942688,498.784,,38.920906067,159.63774109
1.8740327358,71.864768982,498.936,,35.378421783,159.51885986
1.8631432056,74.23991394,499.088,,29.563484191999997,159.71707153
1.8512102365,73.419425964,499.24,,26.189195633,159.78979492
1.8566273451,74.15774536100001,499.392,,30.852775574000002,160.27708435
1.8640419245,74.61391449,499.544,,36.393230438,160.46502686
1.8697222471,74.092033386,499.696,,44.721645355,160.50489807
1.8720923662,73.944297791,499.848,,43.747562408,160.49928284
1.8679596186,75.05583190899999,500.0,,37.737670898000005,160.48558044
1.8572515249,76.508979797,500.152,,31.725177765,160.36244202
1.845531106,73.464164734,500.304,,26.771625519,159.83699036
1.8473213911,68.757133484,500.456,,29.252349854000002,159.25857544
1.8530236483,66.214767456,500.608,,31.11192894,159.04550171
1.883259058,67.519630432,500.76,,25.780155181999998,159.09196472
1.9485155344,67.74028015100001,500.912,,17.592674255,159.31990051
2.0333251953,66.249382019,501.064,,17.641107559,159.49562073
2.1492137909,65.563743591,501.216,,16.600845337,159.68937683
2.1131362915,66.860717773,501.36800000000005,,9.6992645264,159.92002869
1.9948540926,69.580696106,501.52,,4.78414011,159.99858093
1.8836650848,71.94261169399999,501.672,,3.8371455669,159.79779053
1.7584255934,73.34449005100001,501.824,,3.572811842,159.55261230000005
1.6963471174,71.916694641,501.976,,3.5936937332,159.47583008
1.655433774,70.890159607,502.128,,3.1117944717,159.49038696
1.6419883966,71.70512390100001,502.28,,2.1659314632,159.48999023
1.6000921726,73.166786194,502.432,,1.4983141422,159.48078918
1.5306323767,73.454750061,502.584,,1.1964892149,159.47157288
1.4635715485,72.939445496,502.736,,1.1044000387,159.49009705
1.4224396944,72.70727539100001,502.888,,1.0949280262,159.47627258
1.4139217138,71.724914551,503.04,,1.090865612,159.48994446
1.4155355691999998,70.75415802,503.192,,1.0884526968,159.49012756
1.416385293,70.73130798300001,503.344,,1.0905030966,159.48092651
1.4175409079,71.042816162,503.496,,1.094286561,159.47172546
1.4174566269,69.149353027,503.648,,1.0973621607,159.48965454
1.4170917273,67.80706024199999,503.8,,1.1055958271,159.48684692
1.4164515734,68.177352905,503.952,,1.1130183935,159.47303772
1.4191997050999998,70.992050171,504.104,,1.1210472584,159.48944092
1.425380826,74.218452454,504.256,,1.1230734587,159.47692871
1.4318736792,74.771621704,504.408,,1.1212162971,159.48928833
1.4349969625,71.934577942,504.56,,1.1215606928,159.48703003
1.4342284203,66.862365723,504.712,,1.117200017,159.47322083
1.4313360453,63.988803864,504.864,,1.1133658886,159.47918701
1.4280105828999998,64.54348754899999,505.016,,1.1050220728,159.49299622
1.4270484447,65.661445618,505.168,,1.098921299,159.490448
1.4266034365,66.222640991,505.32,,1.0991812944,159.48124695
1.4237999916,66.926727295,505.472,,1.1058590412,159.47203064
1.4213479756999998,67.963394165,505.624,,1.111625433,159.4887085
1.4192183018,68.044792175,505.776,,1.1116621494,159.47764587
1.4217348099,67.83001709,505.92800000000005,,1.1126551628,159.48857117
1.4224852324,69.14630127,506.08,,1.1155827045,159.48323059
1.4214879274,69.463645935,506.232,,1.1096737385,159.46340942
1.4213094711,70.38092041,506.384,,1.1017158031,159.44358826
1.4230800867,71.207763672,506.536,,1.1000596285,159.45925903
1.4252043962,71.47063446,506.6880000000001,,1.1149388552,159.44752502
1.4253982306,69.795417786,506.84,,1.1369000673,159.45909119
1.4251990318,67.314575195,506.992,,1.1503645182,159.44769287
1.426949501,67.362602234,507.144,,1.1611419916,159.44277954
1.4306292534,69.265235901,507.296,,1.1752417088,159.45072937
1.4335999488999998,69.24442291300001,507.448,,1.1996349096,159.45867919999995
1.4362417459,68.75086975100001,507.6,,1.2067434788,159.46664429
1.4377753734999998,67.929832458,507.752,,1.1809858084,159.45870972
1.4343283176,68.83645629899999,507.904,,1.1354168653,159.4427948
1.4332921505,69.683898926,508.056,,1.0986647606,159.44790649
1.4300780296000002,71.25988006600001,508.208,,1.0740559101,159.46382141
1.4295738935,70.913345337,508.36,,1.0663114786,159.44844055
1.4277000427000002,68.18082428,508.512,,1.0684878826000002,159.43832397
1.4269968271,65.449287415,508.664,,1.077383399,159.43975830000005
1.4243664742,63.437667847,508.816,,1.0828638077,159.44119263
1.4208052158000002,56.078243256,508.968,,1.0866296291,159.43893433
1.4178494215000002,47.532917023,509.12,,1.0885882378,159.44250488
1.4167191982,46.903892516999996,509.272,,1.0898000002,159.45045471
1.4169291258,46.555793762,509.424,,1.0898000002,159.4584198
1.4163817167,46.767017365,509.576,,1.0901542902,159.46636963
